drugbank_id	drugbank_name	do_slim_id	do_slim_name	do_subsumed_id	do_subsumed_name	resource
DB00014	Goserelin	DOID:10283	prostate cancer	DOID:10283	prostate cancer	medi_hps
DB00014	Goserelin	DOID:10283	prostate cancer	DOID:10283	prostate cancer	predict
DB00014	Goserelin	DOID:10283	prostate cancer	DOID:10286	prostate carcinoma	medi_hps
DB00014	Goserelin	DOID:10283	prostate cancer	DOID:10286	prostate carcinoma	predict
DB00014	Goserelin	DOID:13223	uterine fibroid	DOID:13223	uterine fibroid	medi_lps
DB00014	Goserelin	DOID:1612	breast cancer	DOID:1612	breast cancer	medi_hps
DB00014	Goserelin	DOID:1612	breast cancer	DOID:1612	breast cancer	predict
DB00014	Goserelin	DOID:1612	breast cancer	DOID:3459	breast carcinoma	predict
DB00035	Desmopressin	DOID:10763	hypertension	DOID:10763	hypertension	medi_lps
DB00035	Desmopressin	DOID:10763	hypertension	DOID:10825	essential hypertension	medi_lps
DB00035	Desmopressin	DOID:3083	chronic obstructive pulmonary disease	DOID:3083	chronic obstructive pulmonary disease	medi_lps
DB00050	Cetrorelix	DOID:13223	uterine fibroid	DOID:13223	uterine fibroid	medi_lps
DB00091	Cyclosporine	DOID:10763	hypertension	DOID:11664	nephrosclerosis	medi_lps
DB00091	Cyclosporine	DOID:10976	membranous glomerulonephritis	DOID:10976	membranous glomerulonephritis	medi_lps
DB00091	Cyclosporine	DOID:1312	focal segmental glomerulosclerosis	DOID:1312	focal segmental glomerulosclerosis	medi_hps
DB00091	Cyclosporine	DOID:2355	anemia	DOID:583	hemolytic anemia	medi_lps
DB00091	Cyclosporine	DOID:2841	asthma	DOID:2841	asthma	medi_lps
DB00091	Cyclosporine	DOID:2986	IgA glomerulonephritis	DOID:2986	IgA glomerulonephritis	medi_lps
DB00091	Cyclosporine	DOID:3310	atopic dermatitis	DOID:3310	atopic dermatitis	medi_lps
DB00091	Cyclosporine	DOID:3393	coronary artery disease	DOID:5844	myocardial infarction	medi_lps
DB00091	Cyclosporine	DOID:3393	coronary artery disease	DOID:9408	acute myocardial infarction	medi_lps
DB00091	Cyclosporine	DOID:7148	rheumatoid arthritis	DOID:7148	rheumatoid arthritis	labeledin
DB00091	Cyclosporine	DOID:7148	rheumatoid arthritis	DOID:7148	rheumatoid arthritis	medi_hps
DB00091	Cyclosporine	DOID:8577	ulcerative colitis	DOID:8577	ulcerative colitis	medi_lps
DB00091	Cyclosporine	DOID:8893	psoriasis	DOID:8893	psoriasis	labeledin
DB00091	Cyclosporine	DOID:8893	psoriasis	DOID:8893	psoriasis	medi_hps
DB00091	Cyclosporine	DOID:9074	systemic lupus erythematosus	DOID:9074	systemic lupus erythematosus	medi_hps
DB00091	Cyclosporine	DOID:9074	systemic lupus erythematosus	DOID:9074	systemic lupus erythematosus	predict
DB00104	Octreotide	DOID:1324	lung cancer	DOID:3908	non-small cell lung carcinoma	medi_lps
DB00104	Octreotide	DOID:1793	pancreatic cancer	DOID:1793	pancreatic cancer	medi_hps
DB00104	Octreotide	DOID:3277	thymus cancer	DOID:3275	thymoma	medi_hps
DB00104	Octreotide	DOID:3277	thymus cancer	DOID:3277	thymus cancer	medi_hps
DB00104	Octreotide	DOID:4989	pancreatitis	DOID:2913	acute pancreatitis	medi_hps
DB00104	Octreotide	DOID:4989	pancreatitis	DOID:4989	pancreatitis	medi_hps
DB00104	Octreotide	DOID:9744	type 1 diabetes mellitus	DOID:9744	type 1 diabetes mellitus	predict
DB00121	Biotin	DOID:1826	epilepsy syndrome	DOID:1826	epilepsy syndrome	medi_lps
DB00121	Biotin	DOID:2986	IgA glomerulonephritis	DOID:2986	IgA glomerulonephritis	medi_lps
DB00121	Biotin	DOID:3310	atopic dermatitis	DOID:3310	atopic dermatitis	medi_lps
DB00121	Biotin	DOID:7148	rheumatoid arthritis	DOID:7148	rheumatoid arthritis	medi_lps
DB00121	Biotin	DOID:9074	systemic lupus erythematosus	DOID:9074	systemic lupus erythematosus	medi_lps
DB00121	Biotin	DOID:9970	obesity	DOID:9970	obesity	medi_lps
DB00122	Choline	DOID:10763	hypertension	DOID:10590	mild pre-eclampsia	medi_lps
DB00122	Choline	DOID:10763	hypertension	DOID:10591	pre-eclampsia	medi_lps
DB00122	Choline	DOID:10763	hypertension	DOID:10763	hypertension	medi_lps
DB00122	Choline	DOID:10763	hypertension	DOID:10825	essential hypertension	medi_lps
DB00122	Choline	DOID:1612	breast cancer	DOID:1612	breast cancer	medi_lps
DB00122	Choline	DOID:1936	atherosclerosis	DOID:1936	atherosclerosis	medi_lps
DB00122	Choline	DOID:7148	rheumatoid arthritis	DOID:7148	rheumatoid arthritis	medi_hps
DB00122	Choline	DOID:8398	osteoarthritis	DOID:8398	osteoarthritis	predict
DB00123	L-Lysine	DOID:9970	obesity	DOID:9970	obesity	medi_lps
DB00125	L-Arginine	DOID:10763	hypertension	DOID:10763	hypertension	medi_lps
DB00125	L-Arginine	DOID:10763	hypertension	DOID:10825	essential hypertension	medi_lps
DB00125	L-Arginine	DOID:2841	asthma	DOID:2841	asthma	medi_lps
DB00126	Vitamin C	DOID:10283	prostate cancer	DOID:10283	prostate cancer	ehrlink
DB00126	Vitamin C	DOID:10763	hypertension	DOID:10763	hypertension	medi_lps
DB00126	Vitamin C	DOID:10763	hypertension	DOID:10825	essential hypertension	medi_lps
DB00126	Vitamin C	DOID:13189	gout	DOID:13189	gout	medi_lps
DB00126	Vitamin C	DOID:1936	atherosclerosis	DOID:1936	atherosclerosis	medi_lps
DB00126	Vitamin C	DOID:2355	anemia	DOID:10783	methemoglobinemia	medi_hps
DB00126	Vitamin C	DOID:2355	anemia	DOID:10783	methemoglobinemia	predict
DB00126	Vitamin C	DOID:2355	anemia	DOID:11252	microcytic anemia	predict
DB00126	Vitamin C	DOID:2355	anemia	DOID:2355	anemia	medi_hps
DB00126	Vitamin C	DOID:3393	coronary artery disease	DOID:3393	coronary artery disease	medi_lps
DB00130	L-Glutamine	DOID:1826	epilepsy syndrome	DOID:1826	epilepsy syndrome	medi_lps
DB00130	L-Glutamine	DOID:8577	ulcerative colitis	DOID:8577	ulcerative colitis	medi_lps
DB00134	L-Methionine	DOID:1936	atherosclerosis	DOID:1936	atherosclerosis	medi_lps
DB00134	L-Methionine	DOID:9970	obesity	DOID:9970	obesity	medi_lps
DB00135	L-Tyrosine	DOID:10652	Alzheimer's disease	DOID:10652	Alzheimer's disease	medi_lps
DB00135	L-Tyrosine	DOID:14330	Parkinson's disease	DOID:14330	Parkinson's disease	medi_lps
DB00136	Calcitriol	DOID:11476	osteoporosis	DOID:11476	osteoporosis	ehrlink
DB00136	Calcitriol	DOID:11476	osteoporosis	DOID:11476	osteoporosis	medi_lps
DB00136	Calcitriol	DOID:784	chronic kidney failure	DOID:784	chronic kidney failure	labeledin
DB00136	Calcitriol	DOID:784	chronic kidney failure	DOID:784	chronic kidney failure	medi_lps
DB00136	Calcitriol	DOID:8893	psoriasis	DOID:8893	psoriasis	medi_hps
DB00136	Calcitriol	DOID:9008	psoriatic arthritis	DOID:9008	psoriatic arthritis	medi_lps
DB00137	Xanthophyll	DOID:10871	age related macular degeneration	DOID:10871	age related macular degeneration	medi_lps
DB00137	Xanthophyll	DOID:9970	obesity	DOID:9970	obesity	medi_lps
DB00140	Riboflavin	DOID:2355	anemia	DOID:2355	anemia	medi_lps
DB00143	Glutathione	DOID:10652	Alzheimer's disease	DOID:10652	Alzheimer's disease	medi_lps
DB00143	Glutathione	DOID:14330	Parkinson's disease	DOID:14330	Parkinson's disease	medi_lps
DB00143	Glutathione	DOID:1595	endogenous depression	DOID:1470	major depressive disorder	medi_lps
DB00143	Glutathione	DOID:2043	hepatitis B	DOID:2043	hepatitis B	medi_lps
DB00143	Glutathione	DOID:2841	asthma	DOID:2841	asthma	medi_lps
DB00143	Glutathione	DOID:3083	chronic obstructive pulmonary disease	DOID:3083	chronic obstructive pulmonary disease	medi_lps
DB00143	Glutathione	DOID:3312	bipolar disorder	DOID:3312	bipolar disorder	medi_lps
