drug	disease	classification	notes	drug_url	disease_url
Abacavir	acquired immunodeficiency syndrome			http://www.drugbank.ca/drugs/DB01048	http://www.disease-ontology.org/term/DOID%3A10283
Abiraterone	prostate cancer			http://www.drugbank.ca/drugs/DB05812	http://www.disease-ontology.org/term/DOID%3A10283
Acamprosate	alcohol dependence			http://www.drugbank.ca/drugs/DB00659	http://www.disease-ontology.org/term/DOID%3A10283
Acarbose	type 2 diabetes mellitus			http://www.drugbank.ca/drugs/DB00284	http://www.disease-ontology.org/term/DOID%3A10283
Acebutolol	hypertension			http://www.drugbank.ca/drugs/DB01193	http://www.disease-ontology.org/term/DOID%3A10283
Acetaminophen	migraine			http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A10283
Acetaminophen	osteoarthritis			http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A10283
Acetazolamide	epilepsy syndrome			http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A10283
Acetazolamide	glaucoma			http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A10283
Acetophenazine	schizophrenia			http://www.drugbank.ca/drugs/DB01063	http://www.disease-ontology.org/term/DOID%3A10283
Acetylcysteine	chronic obstructive pulmonary disease			http://www.drugbank.ca/drugs/DB06151	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	Kawasaki disease			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	coronary artery disease			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	gout			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	hypertension			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	migraine			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	osteoarthritis			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Acetylsalicylic acid	systemic lupus erythematosus			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10283
Aciclovir	acquired immunodeficiency syndrome			http://www.drugbank.ca/drugs/DB00787	http://www.disease-ontology.org/term/DOID%3A10283
Acitretin	psoriasis			http://www.drugbank.ca/drugs/DB00459	http://www.disease-ontology.org/term/DOID%3A10283
Adefovir Dipivoxil	hepatitis B			http://www.drugbank.ca/drugs/DB00718	http://www.disease-ontology.org/term/DOID%3A10283
Alendronate	Paget's disease of bone			http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A10283
Alendronate	breast cancer			http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A10283
Alendronate	osteoporosis			http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A10283
Alitretinoin	hematologic cancer			http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A10283
Alitretinoin	peripheral nervous system neoplasm			http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A10283
Allopurinol	gout			http://www.drugbank.ca/drugs/DB00437	http://www.disease-ontology.org/term/DOID%3A10283
Allopurinol	hematologic cancer			http://www.drugbank.ca/drugs/DB00437	http://www.disease-ontology.org/term/DOID%3A10283
Almotriptan	migraine			http://www.drugbank.ca/drugs/DB00918	http://www.disease-ontology.org/term/DOID%3A10283
Alprazolam	panic disorder			http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A10283
Alprazolam	systemic scleroderma			http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A10283
Alprostadil	hypertension			http://www.drugbank.ca/drugs/DB00770	http://www.disease-ontology.org/term/DOID%3A10283
Altretamine	ovarian cancer			http://www.drugbank.ca/drugs/DB00488	http://www.disease-ontology.org/term/DOID%3A10283
Amantadine	Parkinson's disease			http://www.drugbank.ca/drugs/DB00915	http://www.disease-ontology.org/term/DOID%3A10283
Amantadine	multiple sclerosis			http://www.drugbank.ca/drugs/DB00915	http://www.disease-ontology.org/term/DOID%3A10283
Amiloride	hypertension			http://www.drugbank.ca/drugs/DB00594	http://www.disease-ontology.org/term/DOID%3A10283
Aminocaproic Acid	anemia			http://www.drugbank.ca/drugs/DB00513	http://www.disease-ontology.org/term/DOID%3A10283
Aminocaproic Acid	prostate cancer			http://www.drugbank.ca/drugs/DB00513	http://www.disease-ontology.org/term/DOID%3A10283
Aminophylline	asthma			http://www.drugbank.ca/drugs/DB01223	http://www.disease-ontology.org/term/DOID%3A10283
Aminophylline	chronic obstructive pulmonary disease			http://www.drugbank.ca/drugs/DB01223	http://www.disease-ontology.org/term/DOID%3A10283
Amiodarone	coronary artery disease			http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A10283
Amiodarone	hypertension			http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A10283
Amitriptyline	endogenous depression			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A10283
Amitriptyline	migraine			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A10283
Amitriptyline	multiple sclerosis			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A10283
Amitriptyline	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A10283
Amitriptyline	systemic lupus erythematosus			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A10283
Amlodipine	coronary artery disease			http://www.drugbank.ca/drugs/DB00381	http://www.disease-ontology.org/term/DOID%3A10283
Amlodipine	hypertension			http://www.drugbank.ca/drugs/DB00381	http://www.disease-ontology.org/term/DOID%3A10283
Amobarbital	epilepsy syndrome			http://www.drugbank.ca/drugs/DB01351	http://www.disease-ontology.org/term/DOID%3A10283
Amphetamine	attention deficit hyperactivity disorder			http://www.drugbank.ca/drugs/DB00182	http://www.disease-ontology.org/term/DOID%3A10283
Amphetamine	narcolepsy			http://www.drugbank.ca/drugs/DB00182	http://www.disease-ontology.org/term/DOID%3A10283
Amprenavir	acquired immunodeficiency syndrome			http://www.drugbank.ca/drugs/DB00701	http://www.disease-ontology.org/term/DOID%3A10283
Amrinone	dilated cardiomyopathy			http://www.drugbank.ca/drugs/DB01427	http://www.disease-ontology.org/term/DOID%3A10283
Anagrelide	hematologic cancer			http://www.drugbank.ca/drugs/DB00261	http://www.disease-ontology.org/term/DOID%3A10283
Anastrozole	breast cancer			http://www.drugbank.ca/drugs/DB01217	http://www.disease-ontology.org/term/DOID%3A10283
Antipyrine	migraine			http://www.drugbank.ca/drugs/DB01435	http://www.disease-ontology.org/term/DOID%3A10283
Apomorphine	Parkinson's disease			http://www.drugbank.ca/drugs/DB00714	http://www.disease-ontology.org/term/DOID%3A10283
