drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	drug_url	disease_url	tie
Acarbose	type 2 diabetes mellitus	DM	SYM		 (glucosidase inhibitor)			http://www.drugbank.ca/drugs/DB00284	http://www.disease-ontology.org/term/DOID%3A9352	True
Acebutolol	hypertension	DM	SYM		 (cardioselective beta blocker			http://www.drugbank.ca/drugs/DB01193	http://www.disease-ontology.org/term/DOID%3A10763	True
Acetazolamide	epilepsy syndrome	NOT	SYM		hm. Can be used for seizures but not great drug			http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A1826	True
Acetylsalicylic acid	gout	NOT	SYM		not indicated. Asa can increase risk of gout			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A13189	True
Acetylsalicylic acid	osteoarthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A8398	True
Aciclovir	acquired immunodeficiency syndrome	DM	NOT		newer data shows it may slow diseae progression			http://www.drugbank.ca/drugs/DB00787	http://www.disease-ontology.org/term/DOID%3A635	True
Acitretin	psoriasis	DM	SYM					http://www.drugbank.ca/drugs/DB00459	http://www.disease-ontology.org/term/DOID%3A8893	True
Alitretinoin	hematologic cancer	DM	NOT					http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A2531	True
Alitretinoin	peripheral nervous system neoplasm	DM	NOT					http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A1192	True
Amantadine	Parkinson's disease	DM	SYM					http://www.drugbank.ca/drugs/DB00915	http://www.disease-ontology.org/term/DOID%3A14330	True
Amiloride	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00594	http://www.disease-ontology.org/term/DOID%3A10763	True
Amiodarone	coronary artery disease	NOT	SYM		treats arrthymias			http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A3393	True
Amiodarone	hypertension	NOT	SYM		treats arrthymias			http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A10763	True
Amitriptyline	migraine	DM	SYM		 (may decr freq of ha)			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A6364	True
Amitriptyline	rheumatoid arthritis	SYM	NOT		SYM or NOT			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A7148	True
Amitriptyline	systemic lupus erythematosus	SYM	NOT		SYM or NOT			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A9074	True
Amlodipine	coronary artery disease	DM	SYM					http://www.drugbank.ca/drugs/DB00381	http://www.disease-ontology.org/term/DOID%3A3393	True
Amrinone	dilated cardiomyopathy	SYM	DM					http://www.drugbank.ca/drugs/DB01427	http://www.disease-ontology.org/term/DOID%3A12930	True
Arformoterol	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB01274	http://www.disease-ontology.org/term/DOID%3A2841	True
Arformoterol	chronic obstructive pulmonary disease	DM	SYM					http://www.drugbank.ca/drugs/DB01274	http://www.disease-ontology.org/term/DOID%3A3083	True
Atropine	Crohn's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A8778	True
Atropine	Parkinson's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A14330	True
Auranofin	psoriatic arthritis	DM	SYM					http://www.drugbank.ca/drugs/DB00995	http://www.disease-ontology.org/term/DOID%3A9008	True
Auranofin	rheumatoid arthritis	DM	SYM					http://www.drugbank.ca/drugs/DB00995	http://www.disease-ontology.org/term/DOID%3A7148	True
Beclomethasone	psoriasis	DM	SYM					http://www.drugbank.ca/drugs/DB00394	http://www.disease-ontology.org/term/DOID%3A8893	True
Benazepril	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00542	http://www.disease-ontology.org/term/DOID%3A10763	True
Bepridil	hypertension	NOT	SYM					http://www.drugbank.ca/drugs/DB01244	http://www.disease-ontology.org/term/DOID%3A10763	True
Betamethasone	ankylosing spondylitis	DM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A7147	True
Betamethasone	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2841	True
Betamethasone	breast cancer	SYM	NOT			supportive		http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A1612	True
Betamethasone	hematologic cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2531	True
Betaxolol	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB00195	http://www.disease-ontology.org/term/DOID%3A1686	True
Betaxolol	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00195	http://www.disease-ontology.org/term/DOID%3A10763	True
Bimatoprost	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB00905	http://www.disease-ontology.org/term/DOID%3A1686	True
Bimatoprost	hypertension	NOT	SYM					http://www.drugbank.ca/drugs/DB00905	http://www.disease-ontology.org/term/DOID%3A10763	True
Biperiden	Alzheimer's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00810	http://www.disease-ontology.org/term/DOID%3A10652	True
Brinzolamide	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB01194	http://www.disease-ontology.org/term/DOID%3A1686	True
