omim_id	drugbank_id	omim_name	drugbank_name
607682	DB00909	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9	Zonisamide
607682	DB01202	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9	Levetiracetam
607682	DB00794	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9	Primidone
607682	DB00776	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9	Oxcarbazepine
607682	DB00996	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9	Gabapentin
109350	DB01129	Gastroesophageal Reflux	Rabeprazole
109350	DB01020	Gastroesophageal Reflux	Isosorbide Mononitrate
109350	DB00863	Gastroesophageal Reflux	Ranitidine
109350	DB01233	Gastroesophageal Reflux	Metoclopramide
109350	DB01019	Gastroesophageal Reflux	Bethanechol
109350	DB00448	Gastroesophageal Reflux	Lansoprazole
109350	DB00364	Gastroesophageal Reflux	Sucralfate
109350	DB00736	Gastroesophageal Reflux	Esomeprazole
109350	DB01378	Gastroesophageal Reflux	Magnesium
109350	DB00338	Gastroesophageal Reflux	Omeprazole
109350	DB00501	Gastroesophageal Reflux	Cimetidine
109350	DB00213	Gastroesophageal Reflux	Pantoprazole
109350	DB00927	Gastroesophageal Reflux	Famotidine
109350	DB00883	Gastroesophageal Reflux	Isosorbide Dinitrate
109350	DB00585	Gastroesophageal Reflux	Nizatidine
145200	DB00755	Hyperpigmentation Of Fuldauer And Kuijpers	Tretinoin
604416	DB00010	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Sermorelin
604416	DB00755	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Tretinoin
604416	DB00977	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Ethinyl Estradiol
604416	DB00759	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Tetracycline
604416	DB01395	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Drospirenone
604416	DB00440	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Trimethoprim
604416	DB00548	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Azelaic Acid
604416	DB00957	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Norgestimate
604416	DB00007	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Leuprolide
604416	DB00421	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Spironolactone
604416	DB00936	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Salicyclic acid
604416	DB00210	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Adapalene
604416	DB00199	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Erythromycin
604416	DB00717	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Norethindrone
604416	DB01017	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Minocycline
604416	DB00982	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne	Isotretinoin
102100	DB01068	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma	Clonazepam
102100	DB00949	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma	Felbamate
102100	DB00555	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma	Lamotrigine
608088	DB00318	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Codeine
608088	DB01075	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Diphenhydramine
608088	DB00852	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Pseudoephedrine
608088	DB00514	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Dextromethorphan
608088	DB00868	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Benzonatate
608088	DB01069	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Promethazine
608088	DB00388	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Phenylephrine
608088	DB00956	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Hydrocodone
608088	DB01551	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Dihydrocodeine
608088	DB00316	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Acetaminophen
608088	DB00397	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Phenylpropanolamine
608088	DB00327	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Hydromorphone
608088	DB00907	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux	Cocaine
223350	DB01008	Dohle Bodies And Leukemia	Busulfan
223350	DB00620	Dohle Bodies And Leukemia	Triamcinolone
223350	DB01254	Dohle Bodies And Leukemia	Dasatinib
223350	DB00635	Dohle Bodies And Leukemia	Prednisone
223350	DB00987	Dohle Bodies And Leukemia	Cytarabine
223350	DB00444	Dohle Bodies And Leukemia	Teniposide
223350	DB00694	Dohle Bodies And Leukemia	Daunorubicin
223350	DB00762	Dohle Bodies And Leukemia	Irinotecan
223350	DB00541	Dohle Bodies And Leukemia	Vincristine
223350	DB01177	Dohle Bodies And Leukemia	Idarubicin
223350	DB01073	Dohle Bodies And Leukemia	Fludarabine
223350	DB00563	Dohle Bodies And Leukemia	Methotrexate
223350	DB01234	Dohle Bodies And Leukemia	Dexamethasone
168600	DB01186	Parkinson Disease; Pd	Pergolide
168600	DB00245	Parkinson Disease; Pd	Benzatropine
168600	DB00413	Parkinson Disease; Pd	Pramipexole
168600	DB00494	Parkinson Disease; Pd	Entacapone
168600	DB00387	Parkinson Disease; Pd	Procyclidine
168600	DB00323	Parkinson Disease; Pd	Tolcapone
168600	DB00714	Parkinson Disease; Pd	Apomorphine
168600	DB01367	Parkinson Disease; Pd	Rasagiline
168600	DB00747	Parkinson Disease; Pd	Scopolamine
168600	DB00190	Parkinson Disease; Pd	Carbidopa
168600	DB00268	Parkinson Disease; Pd	Ropinirole
103780	DB00215	Alcohol Dependence	Citalopram
103780	DB00704	Alcohol Dependence	Naltrexone
103780	DB00659	Alcohol Dependence	Acamprosate
103780	DB00475	Alcohol Dependence	Chlordiazepoxide
103780	DB00822	Alcohol Dependence	Disulfiram
103780	DB00904	Alcohol Dependence	Ondansetron
600496	DB01124	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Tolbutamide
600496	DB01132	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Pioglitazone
600496	DB00672	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Chlorpropamide
600496	DB01016	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Glyburide
600496	DB01067	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Glipizide
600496	DB00331	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Metformin
600496	DB01261	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Sitagliptin
600496	DB00222	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Glimepiride
600496	DB00731	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Nateglinide
600496	DB00912	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Repaglinide
600496	DB00839	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Tolazamide
600496	DB01029	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Irbesartan
600496	DB00284	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Acarbose
600496	DB00412	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Rosiglitazone
600496	DB00414	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Acetohexamide
600496	DB00491	Maturity-Onset Diabetes Of The Young, Type 3; Mody3	Miglitol
