drugbank_id	drugbank_name	umls_cui	umls_name	omim_id	omim_name
DB00909	Zonisamide	C0014544	Epilepsy	607682	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
DB01202	Levetiracetam	C0014544	Epilepsy	607682	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
DB00794	Primidone	C0014544	Epilepsy	607682	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
DB00776	Oxcarbazepine	C0014544	Epilepsy	607682	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
DB00996	Gabapentin	C0014544	Epilepsy	607682	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
DB01129	Rabeprazole	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB01020	Isosorbide Mononitrate	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00863	Ranitidine	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB01233	Metoclopramide	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB01019	Bethanechol	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00448	Lansoprazole	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00364	Sucralfate	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00736	Esomeprazole	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB01378	Magnesium	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00338	Omeprazole	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00501	Cimetidine	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00213	Pantoprazole	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00927	Famotidine	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00883	Isosorbide Dinitrate	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00585	Nizatidine	C0017168	Gastroesophageal Reflux (Gastroesophageal reflux disease)	109350	Gastroesophageal Reflux
DB00755	Tretinoin	C0162834	Hyperpigmentation	145200	Hyperpigmentation Of Fuldauer And Kuijpers
DB00755	Tretinoin	C1962962	Hyperpigmentation (Hyperpigmentation Adverse Event)	145200	Hyperpigmentation Of Fuldauer And Kuijpers
DB00010	Sermorelin	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00010	Sermorelin	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00010	Sermorelin	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00010	Sermorelin	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00010	Sermorelin	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00755	Tretinoin	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00755	Tretinoin	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00755	Tretinoin	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00755	Tretinoin	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00755	Tretinoin	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00977	Ethinyl Estradiol	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00977	Ethinyl Estradiol	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00977	Ethinyl Estradiol	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00977	Ethinyl Estradiol	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00977	Ethinyl Estradiol	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00759	Tetracycline	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00759	Tetracycline	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00759	Tetracycline	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00759	Tetracycline	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00759	Tetracycline	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01395	Drospirenone	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01395	Drospirenone	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01395	Drospirenone	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01395	Drospirenone	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01395	Drospirenone	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00440	Trimethoprim	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00440	Trimethoprim	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00440	Trimethoprim	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00440	Trimethoprim	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00440	Trimethoprim	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00548	Azelaic Acid	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00548	Azelaic Acid	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00548	Azelaic Acid	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
