RXCUI_IN,DRUG_DESC,ICD9,INDICATION_DESCRIPTION,POSSIBLE_LABEL_USE
44,Mesna,459.0,Hemorrhage NOS,0
44,Mesna,595,Cystitis,1
44,Mesna,595.9,Cystitis NOS,1
44,Mesna,977.9,Poisoning by unspecified drug or medicinal substance,0
74,4-Aminobenzoic Acid,692.70,Unspecified dermatitis due to sun,0
74,4-Aminobenzoic Acid,692.71,Sunburn,0
74,4-Aminobenzoic Acid,694.4,Pemphigus,0
74,4-Aminobenzoic Acid,710.1,Systemic sclerosis,0
74,4-Aminobenzoic Acid,710.3,Dermatomyositis,0
99,6-Aminocaproic Acid,185,Malignant neoplasm of prostate,1
99,6-Aminocaproic Acid,459.0,Hemorrhage NOS,1
99,6-Aminocaproic Acid,641.2,Premature separation of placenta,1
99,6-Aminocaproic Acid,641.20,Premature separation of placenta; unspecified as to episode of care,1
103,mercaptopurine,202.80,Other malignant lymphomas; unspecified site; extranodal and solid organ sites,1
103,mercaptopurine,204.0,Lymphoid leukemia; acute,1
103,mercaptopurine,204.00,Acute lymphoid leukemia without mention of having achieved remission,1
103,mercaptopurine,204.1,Lymphoid leukemia; chronic,1
103,mercaptopurine,204.10,Chronic lymphoid leukemia without mention of having achieved remission,1
103,mercaptopurine,208,Leukemia of unspecified cell type,1
103,mercaptopurine,208.9,Unspecified leukemia,1
103,mercaptopurine,208.90,Unspecified leukemia without mention of having achieved remission,1
103,mercaptopurine,555.9,Regional enteritis of unspecified site,0
103,mercaptopurine,556,Ulcerative colitis,0
103,mercaptopurine,556.8,Other ulcerative colitis,0
103,mercaptopurine,556.9,Ulcerative colitis; unspecified,0
110,Oxyquinoline,686.9,Unspecified local infection of skin and subcutaneous tissue,0
149,Acebutolol,401-405.99,,1
149,Acebutolol,401.9,Hypertension NOS,1
149,Acebutolol,410.90,Acute myocardial infarction; unspecified site; episode of care unspecified,0
149,Acebutolol,413,Angina pectoris,1
149,Acebutolol,413.9,Other and unspecified angina pectoris,1
149,Acebutolol,427,Cardiac dysrhythmias,1
149,Acebutolol,427.1,Paroxysmal ventricular tachycardia,0
149,Acebutolol,427.41,Ventricular fibrillation,0
149,Acebutolol,427.89,Other specified cardiac dysrhythmias,1
149,Acebutolol,427.9,Cardiac dysrhythmia NOS,1
149,Acebutolol,429.9,Heart disease NOS,1
149,Acebutolol,786.50,Unspecified chest pain,1
149,Acebutolol,997.91,Hypertension,1
161,Acetaminophen,338-338.99,,1
161,Acetaminophen,346,Migraine,0
161,Acetaminophen,346.9,Migraine; unspecified,0
161,Acetaminophen,346.90,Migraine; unspecified; without mention of intractable migraine without mention of status migrainosus,0
161,Acetaminophen,460,Acute nasopharyngitis (common cold),1
161,Acetaminophen,462,Acute pharyngitis,1
161,Acetaminophen,487,Influenza,1
